Item1,relation,Item2
普鲁士王国,continent,欧洲
克钦邦,shares border with,新疆维吾尔自治区
开曼海沟,located in or next to body of water,加勒比海
世界大洋,has part,印度洋
瓦卢瓦王朝,part of,卡佩王朝
新加坡,country,新加坡
右手,has part,手指
萧何,country of citizenship,汉朝
CH,diplomatic relation,巴基斯坦
阿拉斯加,sex or gender,女性
陈云,member of political party,中国共产党
胚胎,follows,受精卵
涵洞,part of,路基
爱新觉罗,instance of,姓氏
塞内加尔,country,塞内加尔
乌克兰,diplomatic relation,乌兹别克斯坦
文图拉县,shares border with,洛杉矶县
瑞士信贷银行,headquarters location,苏黎世
台湾岛,located in or next to body of water,东海
重量,subclass of,力
亚述人,country,格鲁吉亚
民国,diplomatic relation,洪都拉斯
沃尔特·布喇顿,field of work,物理学
纯粹数学,opposite of,应用数学
卡尔文循环,named after,梅尔文·卡尔文
塞瓦斯托波尔,country,苏联
等腰梯形,instance of,多边形
王夫之,country of citizenship,明朝
斯威士兰,driving side,左
瓜德罗普,continent,北美洲
唐肃宗,sex or gender,男性
复指数,instance of,恒等式
雪,subclass of,天气
张飞,place of birth,中国
大不列颠及北爱尔兰联合王国,diplomatic relation,阿拉伯联合酋长国
卡尔·弗里德里希·高斯,field of work,大地测量学
袋鼠岛,country,澳大利亚
上海,contains administrative territorial entity,崇明区
德国,diplomatic relation,赞比亚
Na,diplomatic relation,德国
印尼语,subclass of,马来语
魔兽争霸III：冰封王座,ESRB rating,青少年
夏邑,country,中华人民共和国
沙迦,instance of,城市
中央,shares border with,法兰西岛
卢旺达,diplomatic relation,印度
社会学,studies,劳动
冬至,subclass of,最小值
利比里亚,instance of,共和制
佛祖,country of citizenship,清朝
水果,product or material produced,个人电脑
燕山,country,中华人民共和国
阿克萨清真寺,heritage designation,世界遗产
史蒂夫·沃兹尼克,sex or gender,男性
平假名,part of,假名
毛里求斯,diplomatic relation,俄罗斯
阿拉伯联合酋长国,diplomatic relation,德国
阿克赛钦,located in the administrative territorial entity,和田地区
胃,connects with,小肠
詹姆斯·克拉克·麦克斯韦,occupation,数学家
以色列,diplomatic relation,俄罗斯
联合国,founded by,埃塞俄比亚
E·T·A·霍夫曼,occupation,法官
阿拉伯撒哈拉民主共和国,diplomatic relation,巴拿马
黄河,tributary,汾河
西班牙,member of,联合国
犯罪嫌疑人,part of,法律
拉让江,country,马来西亚
几何,subclass of,数学
费希特,field of work,哲学
周口市,country,中华人民共和国
关系,has part,多元组
罗安达,country,安哥拉
苏格兰王国,official language,苏格兰盖尔语
欧阳询,time period,唐朝
易卜拉欣,religion,伊斯兰教
襄州区,instance of,区
民国,diplomatic relation,德国
老挝,diplomatic relation,菲律宾
斯图加特,located in or next to body of water,内卡河
七喜,instance of,商标
河南,contains administrative territorial entity,郑州市
英格兰,replaces,英格兰王国
茶,has part,咖啡因
光武帝,position held,皇帝
许慎,field of work,哲学
美里,country,马来西亚
老爷,country,中华人民共和国
塞尔维亚,diplomatic relation,美国
约翰·施里弗,place of birth,奥克帕克
马克思,occupation,诗人
尼加拉瓜,diplomatic relation,墨西哥
坦桑尼亚,instance of,主权国家
萨丁尼亚语,writing system,拉丁文字
牛津,capital of,牛津郡
Ca,diplomatic relation,比利时
鼻子,instance of,短篇小说
汉姓,facet of,汉语
一带一路,instance of,战略
晋,shares border with,河北省
维他斯·白令,allegiance,俄罗斯帝国
程海,basin country,中华人民共和国
希腊,basic form of government,共和制
雷恩,capital of,布列塔尼
高宗,spouse,武则天
惠安,country,中华人民共和国
塞瓦斯托波尔,official language,俄语
手语,instance of,语系
泗阳,replaces,泗阳县
中华人民共和国,member of,世界贸易组织
德国,diplomatic relation,奥地利
兰亭序,creator,王羲之
逻辑与,instance of,逻辑运算符
哥本哈根,twinned administrative body,奥斯陆
